prev_current_center_x,prev_current_center_y,prev_angle,prev_phase_value_x,prev_phase_value_y,prev_phase_value_z,prev_amplitude_value_x,prev_amplitude_value_y,prev_amplitude_value_z,movement_category,movement_purity,delta_prev_current_center_x,delta_prev_current_center_y,delta_angle,normalized_causing_action
0.74,0.396,28.30075576600637,1.0,1.0,0.0,0.0,1.0,0.0,Stop,0.0,0.0,0.0,0.0,0.6363636363636364
0.74,0.396,28.30075576600637,1.0,1.0,0.0,1.0,1.0,0.0,Stop,0.0,0.0,0.0,0.0,0.4545454545454545
0.74,0.396,28.30075576600637,1.0,1.0,1.0,1.0,1.0,0.0,Stop,0.0,0.0,0.0,0.0,1.0
0.74,0.395,26.565051177077976,1.0,1.0,1.0,1.0,1.0,1.0,Stop,0.0,0.0,-0.0010000000000000009,-1.7357045889283995,0.2727272727272727
0.733,0.395,27.474431626277124,1.0,1.0,1.0,1.0,1.0,1.0,Stop,0.0,-0.007000000000000006,0.0,0.9093804491991477,0.3636363636363636
0.726,0.393,35.31121343963321,1.0,1.0,0.0,1.0,1.0,1.0,Clockwise,0.749384734201314,-0.007000000000000006,-0.0020000000000000018,7.836781813356083,0.0909090909090909
0.721,0.393,36.46923439005184,1.0,1.0,0.0,1.0,1.0,1.0,Stop,0.0,-0.0050000000000000044,0.0,1.1580209504186314,0.1818181818181818
0.726,0.396,28.30075576600637,1.0,0.0,0.0,1.0,1.0,1.0,Anti-Clockwise,0.7955570604382483,0.0050000000000000044,0.0030000000000000027,-8.168478624045463,0.7272727272727273
0.749,0.408,32.61924307119284,1.0,0.0,0.0,1.0,0.0,1.0,Forward,0.6838055534702695,0.02300000000000002,0.011999999999999955,4.318487305186466,1.0
0.76,0.415,32.005383208083515,1.0,0.0,0.0,1.0,0.0,1.0,Forward,0.8843450969092173,0.01100000000000001,0.007000000000000006,-0.6138598631093259,1.0
0.773,0.424,32.61924307119284,1.0,0.0,0.0,1.0,0.0,1.0,Forward,0.9026540134978768,0.013000000000000012,0.009000000000000008,0.6138598631093259,0.9090909090909092
0.788,0.434,28.30075576600637,1.0,0.0,0.0,1.0,0.0,0.0,Forward,0.6004537673570418,0.015000000000000013,0.010000000000000009,-4.318487305186466,0.0
